Tick,Year,Consumer_Price,Market_Price,Demand,Total_Supply,Num_Investors,Num_Production_Sites
71,2095,1540.71,1540.71,2137300.0,2215178.8540871944,23,23
72,2096,1540.71,1540.71,2157500.0,2220001.129841142,23,23
73,2097,1540.71,1540.71,2177300.0,2213710.8982788934,23,23
74,2098,1540.71,1540.71,2196400.0,2218588.0360418567,23,23
75,2099,1540.71,1540.71,2214800.0,2220385.996765409,23,23
76,2100,2000.0,2000.0,2232700.0,2214652.3148474325,23,23
77,2101,2000.0,2000.0,2249900.0,2215930.6686547664,23,23
78,2102,2000.0,2000.0,2249900.0,2226262.6315914053,23,23
79,2103,2000.0,2000.0,2249900.0,2221849.09677618,23,23
80,2104,2000.0,2000.0,2249900.0,2225335.354530778,23,23
81,2105,2000.0,2000.0,2249900.0,2219241.030948327,23,23
82,2106,2000.0,2000.0,2249900.0,2216957.524451396,23,23
83,2107,2000.0,2000.0,2249900.0,2211535.772193626,23,23
84,2108,2000.0,2000.0,2249900.0,2217907.7660537595,23,23
85,2109,2000.0,2000.0,2249900.0,2217706.3384122597,23,23
86,2110,2000.0,2000.0,2249900.0,2214205.6881175907,23,23
87,2111,2000.0,2000.0,2249900.0,2219206.524937109,23,23
88,2112,2000.0,2000.0,2249900.0,2219919.4658346884,23,23
89,2113,2000.0,2000.0,2249900.0,2218077.616147982,23,23
90,2114,2000.0,2000.0,2249900.0,2225454.1740741893,23,23
91,2115,2000.0,2000.0,2249900.0,2224202.554405092,23,23
92,2116,2000.0,2000.0,2249900.0,2222472.9282802353,23,23
93,2117,2000.0,2000.0,2249900.0,2227359.14443997,23,23
94,2118,2000.0,2000.0,2249900.0,2214598.436177674,23,23
95,2119,2000.0,2000.0,2249900.0,2223377.5408834107,23,23
96,2120,2000.0,2000.0,2249900.0,2220131.633742714,23,23
97,2121,2000.0,2000.0,2249900.0,2219097.0176446964,23,23
98,2122,2000.0,2000.0,2249900.0,2215545.7769134757,23,23
99,2123,2000.0,2000.0,2249900.0,2219576.7337563634,23,23
100,2124,2000.0,2000.0,2249900.0,2220975.8203656916,23,23
