Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Annual_Load_Factor,Feedstock_Price,Available_Feedstock,Current_Supply,Max_Supply,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity
2,agg_GUJARAT,2,2026,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1560194.5774329752,1560194.5774329752,1583333.333,0,526.5,0.0
3,agg_PUNJAB,3,2027,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,4042907.0346746934,4042907.0346746934,4787000.0,0,468.0,0.0
3,agg_HARYANA,3,2027,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3286235.4914735765,3386235.4914735765,4000000.0,0,450.0,66576.69053434116
3,agg_UTTAR_PRADESH,3,2027,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,13872811.473832052,13872811.473832052,16500000.0,0,507.0,0.0
3,agg_BIHAR,3,2027,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,2749663.4210843015,2749663.4210843015,3333333.333,0,507.0,0.0
3,agg_ANDHRA_PRADESH,3,2027,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,3000000.0,3000000.0,3000000.0,0,526.5,67664.92874575802
3,agg_TAMIL_NADU,3,2027,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1241561.5178155631,1241561.5178155631,1333333.333,0,565.5,0.0
3,agg_MAHARASHTRA,3,2027,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,10267517.243140483,10267517.243140483,10333333.333,0,565.5,0.0
3,agg_KARNATAKA,3,2027,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,4934929.488163415,4934929.488163415,5666666.667,0,526.5,0.0
3,agg_WEST_BENGAL,3,2027,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,4801133.331769999,4801133.331769999,5497000.0,0,526.5,0.0
3,agg_CHHATTISGARH,3,2027,FeedstockAggregator,agg_CHHATTISGARH,CHHATTISGARH,1.0,360.0,2666666.667,2666666.667,2666666.667,0,468.0,0.0
3,agg_ODISHA,3,2027,FeedstockAggregator,agg_ODISHA,ODISHA,1.0,360.0,3204666.667,3204666.667,3204666.667,0,468.0,0.0
3,agg_MADHYA_PRADESH,3,2027,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,1.0,390.0,3326548.713916052,3326548.713916052,3333333.333,0,507.0,0.0
3,agg_TELANGANA,3,2027,FeedstockAggregator,agg_TELANGANA,TELANGANA,1.0,390.0,5698000.0,5698000.0,5698000.0,0,507.0,0.0
3,agg_ASSAM,3,2027,FeedstockAggregator,agg_ASSAM,ASSAM,1.0,480.0,2000000.0,2000000.0,2000000.0,0,624.0,0.0
3,agg_JHARKHAND,3,2027,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,1.0,435.0,1666666.667,1666666.667,1666666.667,0,565.5,0.0
3,agg_RAJASTHAN,3,2027,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,1.0,435.0,2013100.0301739285,2013100.0301739285,2333333.333,0,565.5,0.0
3,agg_KERALA,3,2027,FeedstockAggregator,agg_KERALA,KERALA,1.0,480.0,1000000.0,1000000.0,1000000.0,0,624.0,0.0
3,agg_GUJARAT,3,2027,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1492082.45128987,1492082.45128987,1583333.333,0,526.5,0.0
4,agg_PUNJAB,4,2028,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,4787000.0,4787000.0,4787000.0,0,468.0,0.0
4,agg_HARYANA,4,2028,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3398691.725756859,3498691.725756859,4000000.0,0,450.0,66576.69053434116
4,agg_UTTAR_PRADESH,4,2028,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,15843091.72080185,15843091.72080185,16500000.0,0,507.0,0.0
4,agg_BIHAR,4,2028,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,3333333.333,3333333.333,3333333.333,0,507.0,66776.2871235995
4,agg_ANDHRA_PRADESH,4,2028,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,2851793.664346289,2851793.664346289,3000000.0,0,526.5,67664.92874575802
4,agg_TAMIL_NADU,4,2028,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1175135.4810291452,1175135.4810291452,1333333.333,0,565.5,0.0
4,agg_MAHARASHTRA,4,2028,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,8882936.3591994,8882936.3591994,10333333.333,0,565.5,0.0
4,agg_KARNATAKA,4,2028,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,5666666.667,5666666.667,5666666.667,0,526.5,0.0
4,agg_WEST_BENGAL,4,2028,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,4854517.639267691,4854517.639267691,5497000.0,0,526.5,0.0
4,agg_CHHATTISGARH,4,2028,FeedstockAggregator,agg_CHHATTISGARH,CHHATTISGARH,1.0,360.0,2445087.288837112,2445087.288837112,2666666.667,0,468.0,0.0
4,agg_ODISHA,4,2028,FeedstockAggregator,agg_ODISHA,ODISHA,1.0,360.0,3204666.667,3204666.667,3204666.667,0,468.0,0.0
4,agg_MADHYA_PRADESH,4,2028,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,1.0,390.0,3155322.6089026458,3155322.6089026458,3333333.333,0,507.0,0.0
4,agg_TELANGANA,4,2028,FeedstockAggregator,agg_TELANGANA,TELANGANA,1.0,390.0,5541127.523137005,5541127.523137005,5698000.0,0,507.0,0.0
4,agg_ASSAM,4,2028,FeedstockAggregator,agg_ASSAM,ASSAM,1.0,480.0,2000000.0,2000000.0,2000000.0,0,624.0,0.0
4,agg_JHARKHAND,4,2028,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,1.0,435.0,1666666.667,1666666.667,1666666.667,0,565.5,0.0
4,agg_RAJASTHAN,4,2028,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,1.0,435.0,2333333.333,2333333.333,2333333.333,0,565.5,0.0
4,agg_KERALA,4,2028,FeedstockAggregator,agg_KERALA,KERALA,1.0,480.0,1000000.0,1000000.0,1000000.0,0,624.0,0.0
4,agg_GUJARAT,4,2028,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1385046.176028724,1385046.176028724,1583333.333,0,526.5,0.0
5,agg_PUNJAB,5,2029,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,4464255.018171831,4464255.018171831,4787000.0,0,468.0,0.0
5,agg_HARYANA,5,2029,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3246014.4253863185,3346014.4253863185,4000000.0,0,450.0,66576.69053434116
5,agg_UTTAR_PRADESH,5,2029,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,16037841.235091232,16037841.235091232,16500000.0,0,507.0,0.0
5,agg_BIHAR,5,2029,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,3333333.333,3333333.333,3333333.333,0,507.0,66776.2871235995
5,agg_ANDHRA_PRADESH,5,2029,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,2900000.0,3000000.0,3000000.0,0,526.5,67664.92874575802
5,agg_TAMIL_NADU,5,2029,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1151539.1017890116,1151539.1017890116,1333333.333,0,565.5,0.0
5,agg_MAHARASHTRA,5,2029,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,10333333.333,10333333.333,10333333.333,0,565.5,0.0
5,agg_KARNATAKA,5,2029,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,5666666.667,5666666.667,5666666.667,0,526.5,0.0
5,agg_WEST_BENGAL,5,2029,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,5497000.0,5497000.0,5497000.0,0,526.5,0.0
5,agg_CHHATTISGARH,5,2029,FeedstockAggregator,agg_CHHATTISGARH,CHHATTISGARH,1.0,360.0,2666666.667,2666666.667,2666666.667,0,468.0,0.0
5,agg_ODISHA,5,2029,FeedstockAggregator,agg_ODISHA,ODISHA,1.0,360.0,2590848.959066859,2590848.959066859,3204666.667,0,468.0,0.0
5,agg_MADHYA_PRADESH,5,2029,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,1.0,390.0,3140629.4551216536,3140629.4551216536,3333333.333,0,507.0,0.0
5,agg_TELANGANA,5,2029,FeedstockAggregator,agg_TELANGANA,TELANGANA,1.0,390.0,5437224.131079938,5437224.131079938,5698000.0,0,507.0,0.0
5,agg_ASSAM,5,2029,FeedstockAggregator,agg_ASSAM,ASSAM,1.0,480.0,1958748.875666177,1958748.875666177,2000000.0,0,624.0,0.0
5,agg_JHARKHAND,5,2029,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,1.0,435.0,1551828.9494229723,1551828.9494229723,1666666.667,0,565.5,0.0
5,agg_RAJASTHAN,5,2029,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,1.0,435.0,2304637.476775556,2304637.476775556,2333333.333,0,565.5,0.0
5,agg_KERALA,5,2029,FeedstockAggregator,agg_KERALA,KERALA,1.0,480.0,1000000.0,1000000.0,1000000.0,0,624.0,0.0
5,agg_GUJARAT,5,2029,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1539140.7984632133,1539140.7984632133,1583333.333,0,526.5,0.0
6,agg_PUNJAB,6,2030,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,4787000.0,4787000.0,4787000.0,0,468.0,0.0
6,agg_HARYANA,6,2030,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3900000.0,4000000.0,4000000.0,0,450.0,66576.69053434116
6,agg_UTTAR_PRADESH,6,2030,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,16500000.0,16500000.0,16500000.0,0,507.0,0.0
6,agg_BIHAR,6,2030,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,3029486.257097671,3029486.257097671,3333333.333,0,507.0,66776.2871235995
6,agg_ANDHRA_PRADESH,6,2030,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,2900000.0,3000000.0,3000000.0,0,526.5,67664.92874575802
6,agg_TAMIL_NADU,6,2030,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1333333.333,1333333.333,1333333.333,0,565.5,0.0
6,agg_MAHARASHTRA,6,2030,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,9264978.541215215,9264978.541215215,10333333.333,0,565.5,0.0
6,agg_KARNATAKA,6,2030,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,4713875.6597175645,4713875.6597175645,5666666.667,0,526.5,0.0
6,agg_WEST_BENGAL,6,2030,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,5421602.351599759,5421602.351599759,5497000.0,0,526.5,0.0
6,agg_CHHATTISGARH,6,2030,FeedstockAggregator,agg_CHHATTISGARH,CHHATTISGARH,1.0,360.0,2286747.533837434,2286747.533837434,2666666.667,0,468.0,0.0
6,agg_ODISHA,6,2030,FeedstockAggregator,agg_ODISHA,ODISHA,1.0,360.0,3204666.667,3204666.667,3204666.667,0,468.0,0.0
6,agg_MADHYA_PRADESH,6,2030,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,1.0,390.0,3333333.333,3333333.333,3333333.333,0,507.0,0.0
6,agg_TELANGANA,6,2030,FeedstockAggregator,agg_TELANGANA,TELANGANA,1.0,390.0,5698000.0,5698000.0,5698000.0,0,507.0,0.0
6,agg_ASSAM,6,2030,FeedstockAggregator,agg_ASSAM,ASSAM,1.0,480.0,2000000.0,2000000.0,2000000.0,0,624.0,0.0
6,agg_JHARKHAND,6,2030,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,1.0,435.0,1387711.6118432584,1387711.6118432584,1666666.667,0,565.5,0.0
6,agg_RAJASTHAN,6,2030,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,1.0,435.0,2133338.619936343,2133338.619936343,2333333.333,0,565.5,0.0
6,agg_KERALA,6,2030,FeedstockAggregator,agg_KERALA,KERALA,1.0,480.0,833032.289291232,833032.289291232,1000000.0,0,624.0,0.0
6,agg_GUJARAT,6,2030,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1431181.4510399483,1431181.4510399483,1583333.333,0,526.5,0.0
7,agg_PUNJAB,7,2031,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,4183558.1356425746,4183558.1356425746,4787000.0,0,468.0,0.0
7,agg_HARYANA,7,2031,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3900000.0,4000000.0,4000000.0,0,450.0,66576.69053434116
7,agg_UTTAR_PRADESH,7,2031,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,16500000.0,16500000.0,16500000.0,0,507.0,0.0
7,agg_BIHAR,7,2031,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,3333333.333,3333333.333,3333333.333,0,507.0,66776.2871235995
7,agg_ANDHRA_PRADESH,7,2031,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,2356268.5574796195,2456268.5574796195,3000000.0,0,526.5,67664.92874575802
7,agg_TAMIL_NADU,7,2031,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1333333.333,1333333.333,1333333.333,0,565.5,0.0
7,agg_MAHARASHTRA,7,2031,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,10333333.333,10333333.333,10333333.333,0,565.5,0.0
7,agg_KARNATAKA,7,2031,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,4625432.229463251,4625432.229463251,5666666.667,0,526.5,0.0
7,agg_WEST_BENGAL,7,2031,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,5034003.094495414,5034003.094495414,5497000.0,0,526.5,0.0
