Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity,Num_Contracts,Avg_Contract_Coverage
1,agg_MADHYA_PRADESH,1,2025,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,,,,,1.0,,,,390.0,3333333.333,3333333.333,,,,,,3333333.333,0,507.0,0.0,,
1,agg_TELANGANA,1,2025,FeedstockAggregator,agg_TELANGANA,TELANGANA,,,,,1.0,,,,390.0,5698000.0,5698000.0,,,,,,5698000.0,0,507.0,0.0,,
1,agg_ASSAM,1,2025,FeedstockAggregator,agg_ASSAM,ASSAM,,,,,1.0,,,,480.0,2000000.0,2000000.0,,,,,,2000000.0,0,624.0,0.0,,
1,agg_JHARKHAND,1,2025,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,,,,,1.0,,,,435.0,1566666.667,1666666.667,,,,,,1666666.667,0,435.0,82702.84135154099,,
1,agg_RAJASTHAN,1,2025,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,,,,,1.0,,,,435.0,2333333.333,2333333.333,,,,,,2333333.333,0,565.5,0.0,,
1,agg_KERALA,1,2025,FeedstockAggregator,agg_KERALA,KERALA,,,,,1.0,,,,480.0,1000000.0,1000000.0,,,,,,1000000.0,0,624.0,0.0,,
1,agg_GUJARAT,1,2025,FeedstockAggregator,agg_GUJARAT,GUJARAT,,,,,1.0,,,,405.0,1583333.333,1583333.333,,,,,,1583333.333,0,526.5,0.0,,
1,inv_01,1,2025,Investor,inv_01,,inv_01,,,,,,0.09643218071150715,0.020814094054722964,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 76000.0, 'percentage_sold': 0.76}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.998}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",10407047.027361482,0.020814094054722964,,1,,,1.0,0.8270284135154099
1,site_JHARKHAND_001,1,2025,SAFProductionSite,site_JHARKHAND_001,JHARKHAND,inv_01,70100.0,1570.71,1.0,,,,,,,,,,,10407047.027361482,,,0,435.0,,,
1,site_HARYANA_021,1,2025,SAFProductionSite,site_HARYANA_021,HARYANA,inv_02,,1495.71,1.0,,,,,,,,,,,,,,0,468.0,,,
