Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites
24,site_TELANGANA_356,24,2048,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,55138.25049246464,1525.71,0.5698,,,,,,,,,,,16265783.895277068,,,0
24,site_KARNATAKA_711,24,2048,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,54055.45394403917,1540.71,0.56666667,,,,,,,,,,,15135527.104330957,,,0
24,site_WEST_BENGAL_1162,24,2048,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,53260.07879232621,1540.71,0.5497,,,,,,,,,,,14912822.061851338,,,0
24,site_PUNJAB_1262,24,2048,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,46902.730993485595,1495.71,0.4787,,,,,,,,,,,15243387.572882816,,,0
25,site_UTTAR_PRADESH_001,25,2049,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97687.83588351433,1525.71,1.0,,,,,,,,,,,70754322.6520706,,,0
25,site_MAHARASHTRA_008,25,2049,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,96159.01427423817,1570.71,1.0,,,,,,,,,,,65319856.806347236,,,0
25,site_UTTAR_PRADESH_022,25,2049,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62209.06060997455,1525.71,0.65,,,,,,,,,,,45057400.50919846,,,0
25,site_TELANGANA_356,25,2049,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,55171.72174297028,1525.71,0.5698,,,,,,,,,,,39960326.34121594,,,0
25,site_KARNATAKA_711,25,2049,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,54649.471404577765,1540.71,0.56666667,,,,,,,,,,,38762323.57255295,,,0
25,site_WEST_BENGAL_1162,25,2049,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,52956.73153863596,1540.71,0.5497,,,,,,,,,,,37561680.11303909,,,0
25,site_PUNJAB_1262,25,2049,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,46494.473075322225,1495.71,0.4787,,,,,,,,,,,35070316.0959848,,,0
26,site_UTTAR_PRADESH_001,26,2050,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,96156.76550155654,1525.71,1.0,,,,,,,,,,,69645383.6851224,,,0
